epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,190.678,0.91333,3.08842,1.22949,0.83478,0.24167,0.19332,0.14164,0.83838,1.98207,1.11368,0.000138862,0.000138862,0.000138862
2,379.963,0.98593,2.02266,1.28166,0.17103,0.23624,0.18884,0.13268,0.87715,2.16882,1.14642,0.000222846,0.000222846,0.000222846
3,569.434,0.9886,1.64827,1.27736,0.16829,0.23271,0.18982,0.13918,0.83774,1.68947,1.10878,0.000251785,0.000251785,0.000251785
4,758.327,0.93995,1.48763,1.24481,0.18641,0.2401,0.21265,0.15958,0.79693,1.65909,1.08295,0.000169302,0.000169302,0.000169302
5,947.429,0.85829,1.37311,1.20126,0.19379,0.24802,0.22633,0.17835,0.69425,1.65683,1.00197,8.6736e-05,8.6736e-05,8.6736e-05
