epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.2871,2.47508,3.33046,1.39964,0.07151,0.12294,0.05277,0.01978,2.23765,2.32695,1.25018,0.000138862,0.000138862,0.000138862
2,97.9568,2.16849,1.99593,1.25197,0.09786,0.12391,0.07082,0.02945,1.96903,2.34815,1.22709,0.000222846,0.000222846,0.000222846
3,144.131,2.06951,1.86203,1.22157,0.10927,0.11898,0.08036,0.03567,1.92912,2.17261,1.18296,0.000251785,0.000251785,0.000251785
